Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
0,1.79,3.83,2.95,67.19,26.23,53.06,48,23.61,87.73,40.96,20.71,114.2,53.31,26.97,1,133483.4344,0
0,1.73,3.55,2.78,73.47,51.84,45.58,40,25.67,81.54,39.77,20.93,105.01,51.22,26.96,1,135527.04,0
0,1.4,2.71,2.05,85.07,53.76,56.39,41,27.41,71.4,37.63,19.57,89.73,47.29,24.6,1,142739.935,0
0,1.29,2.59,1.9,102.39,74.54,66.73,33,28.12,62.54,33.94,17.58,84.26,45.73,23.69,1,151964.9613,0
0,1.08,2.34,1.58,160.77,86.69,121.03,31,26.68,60.96,32.99,16.26,84.81,45.89,22.62,1,157047.0972,0
0,1.02,2.35,1.5,87.29,65.26,51.94,35,27.68,57.12,31.05,15.81,83.97,45.64,23.24,1,154784.3803,0
0,0.94,2.22,1.39,98.09,72.28,63.94,33,28.95,50.02,28.41,14.48,76.05,43.2,22.02,1,147667.9933,0
0,0.86,2.29,1.28,95.75,60.08,59.47,32,29.5,45.53,26.18,13.43,73.9,42.5,21.8,1,142731.3738,0
0,0.85,2.38,1.29,132.69,71.02,97.05,39,28.55,46.79,27.15,13.36,72.35,41.98,20.65,1,162222.5041,0
0,1.01,2.42,1.53,64.16,48.88,38,49,28.52,57.1,32.03,16.29,78.25,43.9,22.32,1,147425.2274,0
0,0.72,1.92,1.04,53.1,40.24,35.78,72,32.45,41.35,25.07,13.42,64.92,39.36,21.07,1,116907.6724,0
0,0.67,1.91,0.97,57.93,42.67,40.39,70,32.88,39.23,23.89,12.9,64.21,39.1,21.11,1,123430.4701,0
0,0.71,1.9,1.01,82.8,60.14,64.23,70,27.61,48.34,26.92,13.35,79.57,44.31,21.97,1,146354.7858,0
0,0.77,1.97,1.08,48.05,31.99,31.07,73,27.37,51.37,27.6,14.06,86.11,46.27,23.56,1,139959.8189,0
0,1.41,2.81,1.98,31.21,24.39,21.33,130,16.34,84.63,27.54,13.83,207.23,67.45,33.86,1,143182.7927,0
0,1.21,2.79,1.7,23.05,17.25,16.1,193,18.92,91.38,33.61,17.29,171.9,63.22,32.52,1,162323.1294,0
0,0.98,2.13,1.32,35.92,28.96,29.03,192,12.3,168.49,47.88,20.72,251.93,71.59,30.97,1,112698.3129,0
0,0.89,1.98,1.19,28.79,23.86,19.76,136,13.34,154.14,47.25,20.7,226.22,69.35,30.39,1,128030.1866,0
0,0.79,1.83,1.05,52.23,43.94,39.93,101,14.84,134.87,46.53,20.13,189.83,65.5,28.34,1,136882.4631,0
0,0.65,1.55,0.85,64.6,52.98,49.62,84,17.74,111.3,46.82,19.85,137.72,57.93,24.57,1,157120.0472,0
0,0.55,1.53,0.71,91.23,74.86,75.62,81,20.76,96.38,44.89,20.12,114.7,53.42,23.94,1,170868.6687,0
0,0.56,1.54,0.72,48.78,39.54,34.02,82,20.94,96.19,43.96,20.25,118.83,54.3,25.02,0,164461.0865,0
0,0.74,1.54,0.93,61.78,49.34,49.34,97,20.38,94.42,41.36,19.31,128.27,56.19,26.24,0,204878.4278,0
0,0.76,1.52,0.95,57.52,47.74,46.38,107,20.24,107.65,45.85,21.87,134.78,57.41,27.38,0,206104.959,0
0,0.77,1.54,0.96,73.27,62.88,62.75,113,17.3,112.96,44.34,19.63,154.78,60.75,26.9,0,213886.0099,0
0,0.78,1.57,0.96,43.53,32.36,33.01,110,17.95,123.95,48.75,22.33,154.23,60.67,27.79,0,240674.5188,0
0,0.84,1.58,1.03,51.56,39.63,41.51,117,17.98,120.44,46.73,21.76,157.73,61.2,28.49,0,223503.8551,0
0,0.87,1.69,1.08,44.2,35.98,34.6,124,18.61,112.3,43.97,21.02,155.38,60.84,29.08,0,234404.488,0
0,1.21,2.08,1.5,71.79,4.49,61.04,113,18.06,143.29,52.45,26.03,173.22,63.4,31.47,0,197772.1081,0
0,1.48,2.37,1.85,39,25.76,28.13,105,13.54,207.1,57.09,28.27,262.72,72.43,35.86,0,194835.1888,0
0,1.5,2.35,1.86,46,38.47,37.43,136,13.98,194.19,53.15,27.36,265.35,72.63,37.38,0,180833.531,0
0,1.52,2.38,1.88,42.68,34.46,33.64,126,11.99,227.99,54.62,27.6,317.43,76.04,38.43,0,187867.2472,0
0,1.45,2.29,1.81,56.02,47.52,47.08,117,10.12,291.25,66.35,29.84,338.95,77.22,34.72,0,158919.6319,0
0,1.37,2.2,1.7,34.81,26.39,25.85,108,10.84,279.05,67.09,30.61,315.92,75.96,34.66,0,158049.8178,0
0,1.45,2.35,1.82,42.37,34.54,34.01,115,12.14,240.94,63.5,29.57,279.45,73.65,34.3,0,159330.3218,0
0,1.54,2.54,1.93,37.21,28.86,29.21,117,12.24,238.81,60.48,29.56,294.85,74.67,36.5,0,140636.865,0
0,1.68,2.66,2.11,45.92,38.82,38.19,128,12.91,231.75,61.55,30.25,276.55,73.44,36.1,0,132903.5871,0
0,1.77,3.39,2.28,15.24,8.68,8.27,147,12.56,267.08,66.39,33.87,302.26,75.14,38.33,0,145386.2225,0
1,2.48,4.55,4.27,8.66,4.65,5.43,83,37.47,58.29,36.47,24.64,59.82,37.43,25.29,1,27985.1692,7
1,2.99,5.82,5.43,7.81,4.15,4.69,95,36.58,66.08,39.41,27.21,67.7,40.37,27.87,1,16294.417,7
1,3.08,5.57,5.34,5.86,1.48,2.88,97,33.12,74.56,42.45,28.06,75.65,43.07,28.47,1,19244.9761,7
1,3.08,5.54,5.3,7.92,5.61,4.66,88,33.03,75.72,42.86,28.57,76.65,43.39,28.92,1,16380.8814,7
1,2.79,5.19,4.91,8.91,5.57,5.15,81,33.58,66.74,39.8,25.82,67.68,40.36,26.18,1,21575.149,7
1,2.72,5,4.75,10.28,6.65,6.27,74,35.7,61.76,37.81,24.71,63.36,38.79,25.35,1,22637.6849,7
1,2.32,4.32,3.98,9.93,5.35,5.52,71,37.9,49.88,32.35,21.1,54.2,35.15,22.93,1,33002.6591,7
1,2.24,3.97,3.73,13.61,9.55,8.84,64,38.13,49.68,32.36,21.13,53.55,34.87,22.77,1,30159.8622,7
1,1.97,3.37,3.14,13.41,8.6,9.01,69,38.59,46.63,30.94,19.99,50.7,33.64,21.73,1,28730.6746,7
1,1.83,3.15,2.89,12.37,6.69,7.9,67,38.69,43.89,29.7,18.91,47.78,32.33,20.58,1,29239.3794,7
1,1.73,2.9,2.69,10.53,3.53,6.31,72,40.62,36.32,25.43,16.39,42.8,29.97,19.32,1,27366.1942,7
1,1.97,3.29,3.07,11.86,7.41,7.76,78,39.59,36.14,24.11,15.62,49.93,33.3,21.58,1,26504.3032,7
1,1.56,2.31,2.17,15.99,8.55,12.67,98,40.16,32.45,22.07,14.42,47.06,32,20.91,1,28052.504,7
1,1.49,2.16,2,12.21,2.6,9.03,101,40.35,27.39,18.4,12.25,48.88,32.83,21.86,1,24313.4753,7
1,1.24,1.74,1.62,13.68,1.34,10.18,93,39.2,35.97,24.97,15.89,44.03,30.57,19.46,1,26040.8637,7
1,1.32,1.81,1.71,17.98,5.37,14.31,83,40.42,36.33,25.11,16.6,44.68,30.88,20.41,1,29476.8601,7
1,1.23,1.88,1.61,17.05,4.17,13.36,86,41.82,33,23.3,15.61,41.65,29.4,19.7,1,35829.8994,7
1,1.16,1.87,1.54,6.94,0.52,4.7,151,40.46,34.72,24.64,16.15,40.91,29.03,19.03,1,33179.559,7
1,1.57,2.25,2.11,9.75,-1.86,6.22,81,41.13,34.48,24.07,16.42,43.26,30.19,20.6,1,30241.5358,7
1,1.85,2.71,2.59,11.03,2.47,7.81,99,40,34.79,23.84,16.34,45.91,31.47,21.56,1,29391.8799,7
1,1.91,3.05,2.76,13.31,2.21,9.72,87,40.88,34.67,24.05,16.65,44.15,30.63,21.21,1,28973.1324,7
1,2.3,3.62,3.32,10.43,0.57,7.03,96,38.45,47.01,29.96,21.44,56.89,36.26,25.95,1,18071.1662,7
1,2.95,5.09,4.72,0.57,-3.24,-1.72,125,30.88,59.37,34.16,22.5,73.81,42.46,27.97,1,9011.5736,7
1,4.83,15.16,13.48,-3.07,-5.1,-5.55,114,33.54,60.97,36.22,24.67,68.32,40.59,27.65,1,7151.1814,7
1,5.1,43.56,37.58,5.84,3.42,2.78,119,33.65,52.66,32.44,22.19,62.32,38.39,26.27,1,10273.316,7
1,4.65,25.02,22.76,4.32,2.34,1.74,139,34.66,53.58,34.46,23.43,55.48,35.68,24.26,1,12368.549,7
1,3.05,8.75,7.28,6.73,2.98,3.58,118,34.5,51.75,33.68,22.5,53.64,34.91,23.32,1,15728.9796,7
1,2.77,5.87,5.31,8.55,5.36,5.3,111,36.49,46.19,30.69,21.08,50.5,33.55,23.04,1,18780.8169,7
1,2.42,4.96,4.3,6.17,3.82,3.87,163,37.61,45.29,30.55,21.16,48.26,32.55,22.54,1,16876.6848,7
1,2.24,4.48,3.84,6.5,3.3,3.49,125,37.54,47.36,31.38,21.86,50.93,33.74,23.51,1,10185.1225,7
1,2.49,6.25,4.95,1.71,-1.86,-1.23,125,34.37,50.25,32.52,21.54,54.5,35.27,23.36,1,9207.1644,7
1,3.02,8.42,6.91,4.99,2.36,1.99,123,34.61,48.89,31.49,21.17,55.28,35.6,23.94,1,10687.3,7
1,3.65,14.33,11.76,4.09,1.44,1.13,123,34.44,50.53,32.31,21.64,56.41,36.07,24.16,1,9335.3,7
1,5.02,66.14,56.19,2.26,-0.15,-0.69,124,33.63,49.54,31.66,20.78,56.51,36.11,23.7,1,9450.1,7
1,3.6,18.67,14.73,4.48,0.98,1.46,120,32.71,50.3,32.78,20.68,53.43,34.83,21.97,1,9263.4,7
1,3.68,16.23,13.4,5.94,3.2,2.8,115,33.33,46.17,30.14,19.31,53.21,34.73,22.25,2,9111.1,7
1,3.82,19.86,17,3.16,0.61,0.08,118,33.1,48.56,31.8,19.97,52.71,34.52,21.68,2,8363.7,7
1,3.46,12.22,10.73,4.85,2.06,1.63,108,33.49,48.1,31.52,19.96,52.6,34.47,21.83,2,8685.1,7
1,36.41,,,6.55,3.87,3.8,126,29.88,58.12,36.47,23.7,59.39,37.26,24.21,2,18948.7,7
1,2.92,8.7,6.86,5.62,1.58,2.87,122,29.44,59.27,37.08,23.47,59.84,37.44,23.69,2,19211.1,7
1,2.47,5.08,4.39,7.48,4.85,4.84,122,28.77,62.93,38.44,24.4,63.69,38.91,24.7,2,15792.2,7
1,2.37,4.81,4.1,5.85,3.33,3.27,124,30.09,59.52,37.19,23.81,60.04,37.52,24.02,2,13631,7
1,2.55,5.59,4.54,5.14,2.66,2.55,123,30.86,61.88,37.93,24.85,63.15,38.71,25.36,2,12654.8,7
1,3.22,9.59,7.57,-0.32,-3.07,-2.81,129,29.4,64,38.93,24.76,64.42,39.18,24.92,2,12931.3,7
1,4.2,16.19,13.72,4.02,1.86,1.59,127,30.22,57.5,35.24,22.85,63.15,38.71,25.09,2,12596.5,7
2,7.84,380.88,374.26,1.29,0.12,-1.26,27.8,33.26,98.84,49.34,36.51,100.3,50.07,37.05,1,3730.2344,8
2,6.46,54.06,52.99,3.69,-0.31,1.14,37.6,32.47,105.57,50.96,38.09,107.16,51.73,38.66,1,4317.7434,8
2,6.56,42.6,41.78,2.89,-0.49,0.81,41.8,30.95,121.6,54.48,41.66,123.22,55.2,42.22,1,4567.6792,8
2,6.32,35.8,32.58,2.79,0.41,0.86,49.6,28.8,142.69,57.82,45.57,146.8,59.48,46.88,1,3547.1971,8
2,5.78,20.05,19.62,2.6,0.03,0.73,58.5,24.73,159.39,59.29,44.03,168.81,62.8,46.63,1,3496.1454,8
2,5.13,14.89,14.73,3.24,1.38,1.52,61.5,25.4,154.36,58.53,43.77,163.74,62.08,46.43,1,3332.7816,8
2,9.02,25.28,25.07,2.39,0.97,0.83,73.1,18.59,262.39,70.45,53.65,272.42,73.15,55.7,1,3521.6368,8
2,7.28,22.18,21.51,2.15,1.07,0.58,123.5,19.12,264.41,71.17,55.69,271.54,73.08,57.19,1,2632.7051,8
2,6.34,21.29,20.52,2.28,0.79,0.48,121.3,18.44,257.75,67.78,52.45,280.28,73.7,57.03,1,2998.5408,8
2,4.91,19.62,16.39,2.38,1.81,0.92,122.1,19.88,243.88,66.91,53.29,264.5,72.56,57.79,1,3027.6302,8
2,4.03,11.82,10.93,2.69,1.68,1,113.3,14.39,440.1,80.73,63.32,445.13,81.66,64.04,1,2980.185,8
2,3.67,9.91,8.99,2.77,2.33,1.5,109.3,15.94,317.15,74.72,58.34,324.47,76.44,59.69,1,2827.1545,8
2,3.7,9.17,8.44,2.76,2.13,1.37,108,17.03,350.87,76.5,59.75,358.67,78.2,61.08,1,3664.2791,8
2,3.35,8.16,7.1,2.8,2.06,1.33,103.1,17.8,328.56,75.51,58.47,335.11,77.02,59.63,1,3187.6754,8
2,3.15,7.41,6.4,2.86,1.99,1.3,99.2,18.41,259.56,71.11,54.57,265.01,72.6,55.71,1,3536.086,8
2,3.26,7.99,6.82,2.88,2.31,1.41,97.8,19.18,299.65,74.89,57.47,300.13,75.01,57.56,2,3714.7894,8
2,3.24,8.27,6.88,2.77,1.97,1.29,97.7,19.65,291.61,74.38,57.3,292.04,74.49,57.39,2,3480.6982,8
2,3.67,8.01,7.64,3.18,2.44,1.63,90.9,19.77,312.55,75.68,61.8,313.01,75.79,61.9,2,4483.1194,8
2,3.64,7.69,7.39,3.1,1.65,1.56,92.7,20.43,313.23,75.71,63.99,313.7,75.83,64.08,2,4683.5391,8
2,3.53,7.57,7.06,3.33,2.74,1.73,83.7,20.04,320.53,76.13,64.23,321.01,76.25,64.32,2,4405.5265,8
2,3.43,7.34,6.7,3.27,2.56,1.69,84.1,19.91,308.81,73.15,61.48,322.16,76.31,64.14,2,4614.0461,8
2,3.6,7.46,6.95,2.99,2.38,1.61,85.2,17.84,347.94,74.39,62.07,367.71,78.62,65.6,2,4534.3314,8
2,3.57,7.17,6.72,3.51,2.36,1.93,85.7,16.21,383.48,75.89,62.16,405.34,80.21,65.7,2,4013.4946,8
2,3.53,6.98,6.51,3.27,2.76,1.84,85.4,15.67,399.99,76.49,62.66,422.9,80.88,66.25,2,4350.7022,8
2,3.43,6.36,6.13,3.39,2.75,1.99,85.3,15.04,427.37,80.25,64.29,432.52,81.22,65.06,2,4184.9262,8
2,3.11,6.11,5.47,3.38,2.59,1.96,82.2,15.82,401.48,79.45,63.51,405.32,80.21,64.12,2,4514.7586,8
2,3.09,6.98,5.37,3.29,2.03,1.88,83.5,15.58,421.61,80.26,65.68,425.32,80.96,66.26,2,4630.948,8
2,3.71,7.83,6.3,3.36,2.88,2.06,94,16,361.21,71.6,57.78,404.5,80.18,64.71,2,5129.7786,8
2,3.66,6.93,6.32,3.16,2.48,1.74,98.6,16.34,382.07,78.82,62.42,384.74,79.37,62.85,2,5195.6175,8
2,3.71,6.88,6.52,3.19,2.24,1.74,95.2,14.3,450.42,81.8,64.4,450.65,81.84,64.43,2,4724.7408,8
2,3.61,6.72,6.4,3.44,2.23,1.88,92.9,13.75,474.69,82.56,65.28,474.93,82.61,65.32,2,4172.2448,8
2,3.64,7.02,6.69,3.36,2.83,1.81,90.9,13.18,505.14,83.42,66.59,505.55,83.49,66.65,2,3424.2927,8
2,3.7,7.12,6.85,3.38,2.54,1.79,90.7,11.84,571.71,85.05,67.68,572.17,85.12,67.74,2,3610.8941,8
2,3.78,7.14,7,3.34,2.45,1.82,90.3,10.46,659.37,86.77,68.96,659.91,86.84,69.02,2,3581.675,8
2,3.79,7.36,7.1,3.2,2.28,1.67,90.7,7.53,891.55,89.85,68.54,892.28,89.92,68.6,2,2720.8844,8
2,3.87,7.65,7.36,3.12,2.51,1.57,88.7,7.09,957.19,90.47,69.42,957.97,90.55,69.48,2,2242.7735,8
2,3.95,8.36,7.59,2.73,2.17,1.38,98.7,6.24,1103.4,91.57,70.46,1105.02,91.7,70.56,2,2230.2718,8
2,4.02,8.17,7.44,2.85,2.29,1.79,96.6,5.97,1142.25,91.83,69.98,1143.94,91.96,70.08,2,2354.9456,8
2,4.1,7.92,7.33,2.76,1.79,1.67,94.2,4.76,1413.91,93.26,69.7,1416.04,93.4,69.8,2,2439.2817,8
2,4.19,7.64,7.12,2.8,2.06,1.73,93.8,4.37,1559.17,93.84,70.6,1561.52,93.98,70.71,2,2331.7704,8
2,4.42,7.65,7.28,2.52,1.6,1.45,94,3.82,1767.31,94.51,70.61,1769.96,94.65,70.72,2,2228.2171,8
2,5.93,11.98,11.47,3.44,2.4,1.4,166.6,29.57,153.39,60.18,45.47,154.89,60.77,45.91,2,8120.0241,8
2,4.81,10.7,10.38,3.54,2.06,1.43,167.5,29.05,153.25,59.26,44.63,158.62,61.33,46.19,2,9670.2092,8
2,3.94,9.6,9.19,3.59,2.35,1.5,167.4,28.51,157.18,59.83,44.92,162.69,61.93,46.49,2,8180.7495,8
2,3.36,8.51,8.27,3.58,2.24,1.43,166.9,27.86,161.91,60.86,45.23,166.03,62.41,46.38,2,8031.5384,8
2,3.44,9.02,8.79,3.21,1.6,1.09,165.8,27.22,170.65,62.84,46.59,171.56,63.18,46.84,2,6080.2871,8
2,3.46,9.23,8.86,3.46,2.7,1.4,165.2,25.52,183.61,64.26,47,185.72,65,47.53,2,5124.9092,8
2,3.5,9.67,9.24,3.43,2.07,1.26,164.9,25.48,173.06,60.01,44.22,188.39,65.32,48.14,2,4163.795,8
2,3.51,9.34,8.88,3.34,2.3,1.56,172.1,25.17,177.08,60.79,44.74,191.32,65.67,48.33,2,3824.2588,8
2,3.39,9.02,7.9,3.33,2.14,1.6,172.2,24.04,191.89,62.76,46.29,205.75,67.29,49.64,2,4907.3965,8
2,3.38,9.06,7.71,3.02,1.94,1.32,178.9,23.16,203.48,64.17,47.27,217.09,68.46,50.43,2,4273.1948,8
2,3.37,8.18,7.33,3.23,2.13,1.46,171.4,23.88,205.6,66.97,49.2,207.02,67.43,49.54,2,3982.5427,8
2,3.41,7.94,7.4,3.39,2.56,1.6,166.5,23.7,200.79,65.33,47.6,207.34,67.46,49.15,2,4052.1181,8
2,3.48,8.49,7.81,3,2.04,1.26,163.8,23.68,201.92,65.45,47.82,208.53,67.59,49.38,2,4177.9811,8
2,3.37,8.29,7.39,3.26,2.35,1.56,165.6,24.38,194.15,64.61,47.33,200.51,66.72,48.88,2,4647.4983,8
2,3.41,8.5,7.5,2.97,2.12,1.32,171,24.27,194.18,64.02,47.14,203.33,67.03,49.36,2,5718.0131,8
2,3.49,8.66,7.78,2.97,2.03,1.34,167.6,24.37,194.03,64.53,47.29,200.69,66.74,48.91,2,5852.445,8
2,4.31,10.44,9.55,2.69,1.55,1.16,170.4,22.07,235.98,68.85,52.07,242.73,70.82,53.56,2,6523.5473,8
2,4.6,11.82,10.99,2.66,1.49,0.92,186.6,19.45,256.78,70.36,49.94,264.93,72.6,51.52,2,6686.4682,8
3,-2.32,0.34,-2.6,205.57,170,173.6,53,61.72,13.75,12.09,8.49,13.75,12.09,8.49,0,434095.0757,0
3,-2.33,0.35,-2.65,142.33,118.77,120.84,83,59.69,13.73,12.07,8.19,13.73,12.07,8.19,0,499850.6402,0
3,-2.51,0.34,-2.88,233.42,209.79,207.89,84,57.59,13.08,11.57,7.53,13.08,11.57,7.53,0,462636.4207,0
3,-2.31,0.34,-2.66,182.12,165.86,159.92,85,58.34,14.11,12.37,8.23,14.11,12.37,8.23,0,550883.9486,0
3,-2.26,0.6,-2.6,122.28,98.5,102.82,100,54.35,24,19.1,13.05,25.67,20.42,13.95,0,591015.7207,0
3,-1.98,0.67,-2.28,114.21,80.94,97.09,115,48.11,25.99,19.74,12.5,31.64,24.04,15.22,0,664153.5018,0
3,-2.09,0.61,-2.39,204.74,180.18,185.08,131,47.09,26.36,20.35,12.41,29.52,22.79,13.9,0,710200.7635,0
3,-2.05,0.69,-2.34,127.34,112.81,112.13,163,49.39,31.06,23.18,15.34,34.01,25.38,16.8,0,723159.45,0
3,-1.91,0.8,-2.19,85.41,75.24,70.06,201,46.01,37.73,26.33,17.36,43.3,30.22,19.92,0,639938.7566,0
3,-1.71,0.9,-1.98,74.55,59.34,61.44,238,41.09,44.79,29.08,18.41,54.01,35.07,22.19,0,598970.9306,0
3,-1.85,0.88,-2.15,98.28,85.19,87.58,276,43.73,41.48,27.82,18.14,49.09,32.93,21.47,0,578907.3888,0
4,2.81,4.05,3.87,4.31,2.42,3.18,118,30.89,139.4,58.18,43.07,139.62,58.27,43.14,2,8032.4125,2
4,2.63,3.72,3.59,4.2,3.23,3.09,123,32.79,126.35,55.76,41.43,126.58,55.87,41.51,2,9759.1825,2
4,2.36,3.32,3.2,4.55,3.54,3.4,118,34.94,110.1,52.35,38.47,110.3,52.45,38.53,2,13470.8182,2
4,2.2,3.05,2.95,5.12,3.73,3.88,113,37.29,98.3,49.5,36.65,98.58,49.64,36.76,1,14948.8877,2
4,1.81,2.5,2.4,6,3.99,4.61,102,39.08,82.73,45.15,32.34,83.23,45.42,32.53,1,14805.4938,2
4,1.79,2.46,2.36,6.45,4.3,4.92,97,39.5,82.55,45.08,32.61,83.12,45.39,32.83,1,18111.5885,2
4,1.68,2.28,2.19,7.88,5.49,6.13,86,39.49,81.51,44.74,32.19,82.17,45.11,32.45,1,19571.3397,2
4,1.57,2.11,2.03,9.61,7.37,7.56,75,40.07,78.46,43.93,31.44,78.63,44.02,31.5,1,18855.7786,2
4,1.39,1.83,1.77,11.19,6.75,9.01,69,40.68,69.75,40.67,28.37,71.51,41.69,29.09,1,36396.3045,2
4,1.36,1.79,1.69,9.14,6.63,7.77,71,41.97,70.09,41.03,29.41,70.8,41.45,29.71,2,7825.2526,2
4,1.5,2.07,1.9,4.64,1.93,3,73,40.92,72.79,42.03,29.79,73.21,42.27,29.96,2,6025.7328,2
4,1.97,2.86,2.64,1.85,-0.14,0.32,73,39.12,76.48,43.23,29.92,76.92,43.48,30.09,2,6716.9734,2
4,7.85,55.45,45.81,1.84,0.79,0.76,92,16.85,258.68,71.64,43.6,261.09,72.31,44,2,5130.2513,2
4,7.14,81.37,54.1,2.24,1.29,1.29,101,17.2,272.17,72.92,46.81,273.25,73.21,47,2,5402.5429,2
4,4.73,15.7,10.25,1.35,-0.5,0.73,102,17.11,272.59,72.94,46.63,273.73,73.24,46.83,2,5739.997,2
4,5.16,17.15,11.64,0.97,0.23,0.06,101,13.68,350.92,77.57,47.99,352.38,77.89,48.19,2,5271.4294,2
4,5.85,18.98,13.54,1.23,-0.45,0.43,100,10.41,468.56,82.14,48.76,470.42,82.47,48.95,2,3597.9786,2
4,6.54,18.62,14.8,2.21,1.07,1.32,102,11.77,435.4,81.06,51.25,437.12,81.38,51.45,2,3471.98,2
4,6.53,15.45,13.59,1.99,0.77,1.26,101,7.68,677.09,86.83,52.03,679.77,87.18,52.24,3,3285.1649,2
4,6.01,14.23,11.79,1.08,0.08,0.31,104,6.98,754.2,87.68,52.63,760.22,88.38,53.05,3,3836.5204,2
4,5.73,13.51,11.18,1.5,-1.61,0.59,102,3.09,1803.03,94.33,55.74,1811.36,94.77,56,3,3286.9474,2
4,6.31,14.77,12.85,1.85,0.9,1,105,2.02,2851.5,96.18,57.55,2864.67,96.63,57.81,3,3041.4864,2
4,6.66,17.86,15.19,1.45,0.08,0.68,105,1.81,3197.32,96.53,57.72,3212.08,96.98,57.99,3,3082.1074,2
4,6.16,15.09,12.91,1.55,0,0.76,105,1.23,4718.81,97.9,57.87,4719.8,97.93,57.89,3,1592.9525,2
4,6.21,14.59,12.78,1.58,-1.05,0.68,104,0.64,8835.19,98.86,56.84,8837.04,98.88,56.86,3,2409.8453,2
4,6.46,13.76,12.92,2.07,0.54,1.2,104,0.39,14915.63,99.29,58.39,14921.88,99.33,58.42,3,2695.0203,2
4,6.23,13.81,12.77,1.64,0.36,0.69,102,0.35,16465.52,99.35,57.93,16472.41,99.4,57.95,3,2649.2455,2
4,6.01,14.39,12.71,1.47,0.45,0.62,106,1.64,3512.5,97.19,57.6,3513.97,97.23,57.62,3,2647.2834,2
4,5.74,12.88,11.47,1.92,0.7,1.04,106,1.26,3250.34,96.98,58.45,3251.7,97.02,58.48,3,548.7489,2
4,4.98,11,9.44,2.47,1.55,1.6,110,3.6,1372.49,93.17,57.33,1373.08,93.21,57.35,3,556.7188,2
4,4.45,9.44,7.88,1.96,1.24,1.15,120,3.61,1388.59,93.24,58.32,1389.19,93.28,58.35,3,1355.9011,2
4,3.74,7.66,6.32,2.05,1.24,1.19,112,3.71,634.03,86.34,54.18,634.32,86.38,54.2,3,2828.868,2
4,3.87,7.94,6.64,1.81,-0.06,0.88,103,3.92,612.91,85.94,53.72,613.2,85.98,53.74,3,2593.3176,2
